epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1988.1,0.32292,0.04314,0.02166,0.25911,0.83294,0.93368,0.97778,0.99053,0.88245,0.93368,0.97778,0.99053,0.99053,0.61001,0.06689,0.01077,0.52418,0.83809,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,2051.29,0.31578,0.04444,0.02,0.25177,0.83487,0.94324,0.92889,0.97702,0.87348,0.94324,0.92889,0.97702,0.97702,0.60328,0.12987,0.02042,0.70626,0.8476,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,2114.71,0.3085,0.03831,0.02014,0.25266,0.83292,0.99454,0.94222,0.99208,0.90795,0.99454,0.94222,0.99208,0.99203,0.52032,0.05195,0.01053,0.46885,0.81539,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,2180.17,0.30608,0.03944,0.01867,0.24564,0.83343,0.95378,0.93556,0.97806,0.85729,0.95378,0.93556,0.97806,0.97806,0.61083,0.07784,0.01788,0.65215,0.83658,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,2243.64,0.30604,0.03749,0.01876,0.2473,0.83384,0.98826,0.92,0.97918,0.88581,0.98826,0.92,0.97918,0.97893,0.53785,0.14621,0.02858,0.55215,0.8334,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,2309.56,0.29838,0.03735,0.02165,0.25132,0.83139,0.91727,0.96444,0.98304,0.85702,0.91727,0.96444,0.97453,0.96303,0.55792,0.07314,0.05169,0.53524,0.81838,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,2373.47,0.29553,0.03399,0.01802,0.24254,0.83237,0.90939,0.95904,0.98142,0.87259,0.90939,0.95904,0.98142,0.97826,0.59459,0.08703,0.03262,0.66568,0.82485,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,2436.48,0.29349,0.03455,0.01976,0.24008,0.83174,0.92397,0.97221,0.97919,0.8693,0.92397,0.97221,0.98707,0.97853,0.60694,0.07173,0.02195,0.51768,0.82239,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,2499.67,0.28593,0.02962,0.01548,0.23224,0.83162,0.91241,0.98,0.98425,0.86708,0.91241,0.98,0.9837,0.98122,0.57606,0.06816,0.02232,0.60326,0.81853,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,2563.01,0.28661,0.02958,0.01677,0.2342,0.82662,0.9536,0.95916,0.98943,0.89325,0.9536,0.95916,0.9894,0.98897,0.53667,0.06465,0.0293,0.46726,0.80904,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,2626.14,0.2805,0.02818,0.01744,0.23006,0.82912,0.94338,0.96222,0.98956,0.8934,0.94338,0.96222,0.98956,0.98913,0.52648,0.07304,0.02769,0.50176,0.81718,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,2689.87,0.28007,0.03268,0.01732,0.22731,0.82754,0.93063,0.96222,0.98658,0.8661,0.93063,0.96222,0.98686,0.9856,0.55884,0.06293,0.01608,0.54994,0.8204,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,2753.66,0.27292,0.02906,0.01528,0.2246,0.82422,0.92104,0.95911,0.98425,0.86438,0.92104,0.95911,0.98425,0.98338,0.59299,0.06994,0.04181,0.54336,0.82213,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,2818.76,0.27505,0.02934,0.01643,0.23246,0.82807,0.93289,0.96889,0.98821,0.88279,0.93289,0.96889,0.98785,0.98778,0.55259,0.0682,0.03231,0.49231,0.81792,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,2882.72,0.27018,0.02936,0.01377,0.223,0.82987,0.94281,0.95556,0.98792,0.89496,0.94281,0.95556,0.98792,0.98771,0.55311,0.06224,0.01867,0.47356,0.80873,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,2946.55,0.26693,0.02839,0.01629,0.22084,0.82624,0.94723,0.93111,0.98575,0.87967,0.94723,0.93111,0.98575,0.98118,0.54886,0.08863,0.03001,0.61384,0.81513,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,3010.7,0.261,0.03086,0.01486,0.22107,0.82453,0.94597,0.93778,0.98665,0.88389,0.94597,0.93778,0.98692,0.985,0.5416,0.08344,0.04331,0.54418,0.81837,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
